"# full pairwise Pearson correlations — 25 sessions, blank = n<8 or constant"
variable,atm_straddle_pts,automobile_lead_pct,bhartiartl_morning_pct,call_wall,call_wall_dist_pts,call_wall_migration_pts,capital_goods_lead_pct,cement_lead_pct,chop_index,condor_kc,condor_kp,condor_pnl,condor_worst,construction_lead_pct,consumer_durables_lead_pct,consumer_services_lead_pct,cov_adj_premium,coverage_ratio,crush_excess_pct,cs_atm_straddle_pts,cs_call_wall_dist_pts,cs_coverage_ratio,cs_oi_std_pts,cs_pcr,cs_pin_share,cs_put_wall_dist_pts,cs_straddle_chg_30m_pct,d_pcr_1d,day_range_pts,day_ret_1000_close_pct,er30,financial_services_lead_pct,fly_pnl,fly_worst,fmcg_lead_pct,hdfcbank_morning_pct,healthcare_lead_pct,icicibank_morning_pct,information_technology_lead_pct,infy_morning_pct,metals_and_mining_lead_pct,next_gap_big,next_gap_pct,oi_std_pts,oil_and_gas_lead_pct,overnight_gap_pct,pcr,pin_share,power_lead_pct,prev_day_ret_pct,put_wall,put_wall_dist_pts,put_wall_migration_pts,reliance_morning_pct,ret_open_to_1000_pct,services_lead_pct,spot,spot_1000,straddle_chg_30m_pct,straddle_exp_close_pct,straddle_pnl,straddle_worst,strangle_pnl,strangle_worst,telecommunication_lead_pct
next_gap_pct,0.01,-0.04,0.17,0.08,0.08,0.17,-0.23,-0.01,0.1,0.08,-0.13,0.08,0.11,-0.32,-0.04,0.29,-0.13,0.13,0.16,0.11,0.14,0.22,0.21,-0.17,-0.26,0.23,-0.32,-0.42,0.1,-0.03,-0.33,0.04,-0.09,-0.0,0.29,0.24,0.31,-0.02,0.17,0.08,-0.27,0.43,1.0,0.1,-0.03,0.01,-0.2,-0.04,-0.35,0.01,-0.13,0.08,-0.06,-0.01,-0.0,-0.38,-0.02,-0.14,-0.25,-0.0,-0.35,-0.2,-0.01,0.12,0.16
oi_std_pts,0.55,0.05,0.03,0.18,0.39,0.19,0.36,0.26,-0.13,0.18,-0.02,-0.22,-0.16,0.32,-0.24,-0.18,0.12,-0.02,0.2,0.41,0.34,0.01,1.0,0.29,-0.39,-0.11,-0.23,0.34,0.6,-0.48,0.03,0.32,-0.15,-0.07,-0.36,0.28,0.12,0.25,-0.38,-0.35,0.44,0.11,0.1,1.0,-0.1,-0.12,0.15,-0.28,0.12,-0.36,-0.02,0.05,-0.33,-0.04,0.08,0.27,-0.06,-0.13,0.29,0.52,-0.07,-0.5,-0.1,-0.45,0.01
oil_and_gas_lead_pct,0.05,0.19,0.21,-0.02,0.05,-0.07,0.13,-0.12,-0.17,-0.02,0.01,0.0,0.22,-0.06,0.05,-0.25,0.17,-0.25,-0.24,0.12,0.05,-0.24,-0.17,-0.11,0.27,-0.18,0.02,-0.21,-0.21,0.27,0.09,-0.05,0.01,0.19,0.31,-0.03,-0.07,0.24,-0.2,-0.25,0.03,0.04,-0.03,-0.1,1.0,-0.18,-0.16,0.03,0.45,0.03,0.01,-0.22,-0.33,0.91,0.16,0.13,-0.06,-0.06,-0.0,-0.09,-0.04,0.26,-0.01,0.26,0.16
overnight_gap_pct,-0.09,0.08,-0.17,0.25,-0.29,0.32,0.16,0.3,0.39,0.25,0.53,-0.29,-0.3,0.1,-0.23,0.15,0.07,-0.34,0.25,-0.32,-0.38,-0.35,-0.21,-0.14,0.02,0.06,-0.37,-0.18,-0.21,0.18,-0.38,0.17,-0.25,-0.27,0.21,0.14,-0.31,0.17,-0.12,-0.04,0.06,-0.04,0.01,-0.12,-0.18,1.0,-0.15,0.03,-0.34,-0.01,0.53,0.04,0.8,-0.07,0.24,-0.07,0.57,0.52,-0.0,0.26,-0.18,0.22,-0.3,-0.0,-0.22
pcr,-0.19,-0.21,-0.05,0.28,0.06,-0.16,0.24,0.32,-0.19,0.28,0.11,0.17,0.12,-0.02,-0.24,0.07,-0.28,0.31,-0.11,-0.18,0.14,0.33,0.29,1.0,-0.35,0.23,0.28,0.67,0.1,-0.28,0.32,0.43,0.28,0.2,-0.44,0.32,0.13,0.42,-0.16,-0.09,0.02,-0.16,-0.2,0.15,-0.16,-0.15,1.0,-0.21,-0.1,0.13,0.11,0.12,-0.21,0.01,0.43,0.3,0.2,0.22,-0.03,-0.22,0.29,0.25,0.12,0.2,-0.16
pin_share,0.29,0.25,0.05,-0.12,-0.17,0.28,-0.31,-0.1,-0.04,-0.12,-0.01,-0.29,-0.24,0.07,0.04,0.13,0.32,-0.19,0.19,0.25,-0.11,-0.26,-0.39,-0.35,1.0,-0.11,-0.11,0.15,-0.32,0.24,-0.24,-0.16,-0.35,-0.36,0.22,-0.31,-0.19,-0.13,0.04,0.03,-0.23,0.04,-0.04,-0.28,0.03,0.03,-0.21,1.0,-0.16,0.22,-0.01,0.33,0.05,-0.04,-0.13,-0.29,-0.05,-0.26,-0.07,0.04,-0.26,-0.25,-0.31,-0.23,0.08
power_lead_pct,0.12,-0.17,0.28,0.15,-0.0,-0.27,0.39,-0.23,-0.06,0.15,0.08,-0.21,-0.07,0.25,0.03,-0.43,0.09,-0.06,-0.08,-0.15,0.01,-0.11,-0.06,-0.11,0.03,0.19,0.21,-0.02,0.12,-0.0,0.09,-0.35,-0.13,0.02,-0.13,-0.35,0.15,-0.11,-0.32,-0.38,0.59,0.02,-0.35,0.12,0.45,-0.34,-0.1,-0.16,1.0,0.21,0.08,0.2,-0.34,0.21,-0.36,0.13,0.15,0.11,0.18,0.1,-0.07,0.08,-0.15,-0.05,0.35
prev_day_ret_pct,-0.48,0.08,-0.17,0.55,0.11,0.38,-0.22,-0.24,-0.05,0.55,0.3,-0.14,-0.02,-0.15,-0.21,-0.15,-0.22,0.19,-0.11,-0.52,0.22,0.21,-0.25,0.1,0.07,0.37,0.38,0.05,-0.3,0.23,-0.1,-0.25,-0.19,0.02,-0.01,-0.22,-0.2,-0.13,0.38,0.29,0.23,0.31,0.01,-0.36,0.03,-0.01,0.13,0.22,0.21,1.0,0.3,0.29,0.21,-0.13,-0.15,-0.2,0.46,0.4,0.01,-0.28,-0.34,0.15,-0.27,0.19,-0.13
put_wall,-0.36,0.03,-0.15,0.73,-0.14,0.37,0.31,0.02,0.49,0.73,1.0,-0.1,0.04,0.11,-0.5,-0.16,-0.08,-0.34,0.38,-0.36,-0.14,-0.34,-0.02,0.11,-0.01,-0.26,-0.07,0.08,0.09,-0.05,-0.35,0.24,0.04,0.09,-0.05,0.22,-0.51,0.27,-0.24,-0.14,0.23,0.24,-0.13,-0.02,0.01,0.53,0.11,-0.01,0.08,0.3,1.0,-0.26,0.74,0.02,0.23,-0.11,0.92,0.92,-0.07,0.33,0.08,0.25,-0.05,0.05,-0.21
put_wall_dist_pts,0.27,-0.19,0.25,0.01,-0.12,-0.26,0.22,0.22,0.1,0.01,-0.26,-0.22,-0.36,0.05,0.03,-0.01,-0.09,0.26,0.1,-0.21,-0.16,0.28,-0.11,0.23,-0.11,1.0,0.05,0.24,-0.03,0.13,-0.19,-0.06,-0.29,-0.33,-0.12,-0.18,0.18,-0.12,-0.34,-0.4,0.2,-0.06,0.08,0.05,-0.22,0.04,0.12,0.33,0.2,0.29,-0.26,1.0,-0.34,-0.33,-0.35,-0.07,0.14,-0.12,0.2,0.19,-0.31,-0.04,-0.35,-0.03,0.32
put_wall_migration_pts,-0.6,0.19,-0.28,0.44,-0.24,0.5,0.25,-0.03,0.43,0.44,0.74,-0.13,-0.05,0.1,-0.1,0.05,-0.03,-0.38,0.45,-0.6,-0.24,-0.38,-0.33,-0.21,0.05,-0.34,-0.22,-0.09,-0.38,0.25,-0.33,0.12,-0.03,0.23,0.17,0.14,-0.53,0.02,-0.04,0.06,0.25,0.24,-0.06,-0.33,-0.33,0.8,-0.21,0.05,-0.34,0.21,0.74,-0.34,1.0,-0.33,0.1,-0.2,0.63,0.63,-0.22,0.39,-0.12,0.35,-0.26,0.09,-0.29
reliance_morning_pct,0.03,0.21,0.17,-0.03,0.05,-0.08,0.09,-0.02,-0.28,-0.03,0.02,0.02,0.21,-0.08,-0.11,-0.13,0.14,-0.2,-0.27,0.16,0.04,-0.18,-0.09,0.13,0.27,-0.21,-0.0,-0.05,-0.19,0.23,0.22,0.13,0.05,0.16,0.25,0.2,-0.14,0.47,-0.21,-0.21,-0.1,-0.01,-0.01,-0.04,0.91,-0.07,0.01,-0.04,0.21,-0.13,0.02,-0.33,-0.33,1.0,0.53,0.15,-0.06,-0.03,-0.01,-0.1,0.02,0.27,-0.01,0.26,0.03
ret_open_to_1000_pct,-0.08,0.17,-0.15,0.23,0.1,0.22,-0.01,0.18,-0.28,0.23,0.23,-0.0,0.01,-0.08,-0.56,0.09,0.03,0.03,-0.1,0.06,0.07,0.1,0.12,0.63,0.18,-0.07,0.02,0.57,-0.11,0.04,0.31,0.41,0.02,-0.04,-0.05,0.51,-0.32,0.65,-0.05,0.07,-0.23,0.09,-0.0,0.08,0.16,0.24,0.43,-0.13,-0.36,-0.15,0.23,-0.35,0.1,0.53,1.0,-0.02,0.21,0.27,0.05,-0.0,0.04,0.08,-0.07,0.09,-0.39
services_lead_pct,0.09,-0.1,-0.18,-0.2,0.04,-0.27,0.33,0.48,-0.24,-0.2,-0.11,-0.02,0.16,0.19,0.38,-0.23,0.02,-0.02,0.01,0.07,-0.05,-0.04,0.23,0.35,-0.38,-0.17,0.15,-0.18,0.21,-0.16,0.47,0.39,0.17,0.31,-0.17,0.11,-0.14,0.31,-0.25,-0.18,0.3,-0.61,-0.38,0.27,0.13,-0.07,0.3,-0.29,0.13,-0.2,-0.11,-0.07,-0.2,0.15,-0.02,1.0,-0.18,-0.16,0.22,0.12,0.27,0.2,0.02,-0.03,-0.16
spot,-0.45,-0.09,-0.06,0.75,-0.21,0.28,0.34,0.1,0.54,0.75,0.92,-0.19,-0.11,0.1,-0.58,-0.11,-0.13,-0.23,0.35,-0.45,-0.21,-0.24,-0.06,0.2,-0.05,0.14,-0.05,0.17,0.03,-0.02,-0.41,0.19,-0.07,-0.04,-0.06,0.25,-0.39,0.24,-0.28,-0.25,0.3,0.21,-0.02,-0.06,-0.06,0.57,0.2,-0.05,0.15,0.46,0.92,0.14,0.63,-0.06,0.21,-0.18,1.0,1.0,-0.05,0.29,-0.04,0.24,-0.2,0.04,-0.11
spot_1000,-0.42,-0.09,-0.1,0.75,-0.16,0.28,0.13,0.1,0.4,0.75,0.92,-0.19,-0.11,-0.08,-0.58,-0.02,-0.14,-0.15,0.15,-0.45,-0.21,-0.24,-0.06,0.2,-0.05,0.14,-0.05,0.17,0.05,-0.09,-0.25,0.13,-0.07,-0.04,-0.11,0.15,-0.31,0.22,0.01,0.1,0.19,0.18,-0.14,-0.13,-0.06,0.52,0.22,-0.26,0.11,0.4,0.92,-0.12,0.63,-0.03,0.27,-0.16,1.0,1.0,-0.09,-0.02,-0.04,0.24,-0.2,0.04,-0.16
straddle_chg_30m_pct,0.49,0.18,-0.42,0.21,0.41,0.1,0.41,0.03,-0.19,0.21,-0.07,0.02,0.02,0.28,-0.1,-0.42,0.2,0.19,0.08,-0.16,0.38,0.48,-0.23,0.28,-0.11,0.05,1.0,0.15,0.05,0.35,0.35,0.15,0.03,0.02,-0.17,0.04,-0.43,0.04,-0.2,-0.15,0.08,0.03,-0.25,0.29,-0.0,-0.0,-0.03,-0.07,0.18,0.01,-0.07,0.2,-0.22,-0.01,0.05,0.22,-0.05,-0.09,1.0,0.68,-0.01,0.04,-0.03,0.15,-0.41
straddle_exp_close_pct,0.7,0.04,-0.31,0.14,0.1,0.26,0.57,0.21,0.03,0.14,0.33,-0.12,0.04,0.3,-0.08,-0.28,0.4,-0.14,0.65,0.14,-0.17,-0.09,0.18,-0.23,0.03,-0.11,-0.19,-0.02,0.31,0.09,-0.06,0.22,-0.14,0.04,-0.02,0.06,-0.25,0.1,-0.39,-0.34,0.1,0.04,-0.0,0.52,-0.09,0.26,-0.22,0.04,0.1,-0.28,0.33,0.19,0.39,-0.1,-0.0,0.12,0.29,-0.02,0.68,1.0,-0.18,-0.32,-0.17,-0.31,-0.29
straddle_pnl,0.04,-0.24,0.04,-0.08,-0.06,-0.62,0.48,0.23,0.1,-0.08,0.08,0.72,0.6,-0.16,0.12,0.15,-0.18,-0.05,-0.17,0.04,-0.06,-0.04,-0.07,0.29,-0.26,-0.31,-0.01,0.41,0.14,-0.32,0.1,0.2,0.88,0.66,-0.55,0.02,0.23,0.26,-0.37,-0.33,-0.36,-0.32,-0.35,-0.07,-0.04,-0.18,0.29,-0.26,-0.07,-0.34,0.08,-0.31,-0.12,0.02,0.04,0.27,-0.04,-0.04,-0.01,-0.18,1.0,0.6,0.83,0.39,0.03
straddle_worst,-0.59,-0.24,-0.03,0.15,-0.1,-0.38,0.61,0.2,0.25,0.15,0.25,0.64,0.61,-0.19,0.22,0.11,-0.48,0.08,-0.23,-0.59,-0.1,0.08,-0.5,0.25,-0.25,-0.04,0.04,0.06,-0.28,0.31,-0.03,0.19,0.7,0.65,-0.16,-0.08,0.09,0.38,-0.28,-0.29,-0.19,-0.12,-0.2,-0.5,0.26,0.22,0.25,-0.25,0.08,0.15,0.25,-0.04,0.35,0.27,0.08,0.2,0.24,0.24,0.04,-0.32,0.6,1.0,0.56,0.82,-0.05
strangle_pnl,0.02,-0.22,-0.18,-0.03,0.22,-0.34,0.35,-0.03,0.13,-0.03,-0.05,0.92,0.81,-0.5,0.19,0.02,-0.43,0.22,-0.18,0.02,0.22,0.22,-0.1,0.12,-0.31,-0.35,-0.03,0.28,0.16,-0.15,0.01,0.2,0.88,0.79,-0.45,-0.06,0.35,0.14,-0.01,-0.02,-0.51,0.03,-0.01,-0.1,-0.01,-0.3,0.12,-0.31,-0.15,-0.27,-0.05,-0.35,-0.26,-0.01,-0.07,0.02,-0.2,-0.2,-0.03,-0.17,0.83,0.56,1.0,0.64,-0.15
strangle_worst,-0.53,-0.29,-0.24,0.22,0.27,0.17,0.35,-0.14,0.14,0.22,0.05,0.75,0.75,-0.53,0.2,-0.02,-0.7,0.47,-0.23,-0.53,0.27,0.48,-0.45,0.2,-0.23,-0.03,0.15,-0.12,-0.19,0.46,-0.01,0.25,0.61,0.68,-0.11,-0.05,0.13,0.28,0.16,0.12,-0.37,0.15,0.12,-0.45,0.26,-0.0,0.2,-0.23,-0.05,0.19,0.05,-0.03,0.09,0.26,0.09,-0.03,0.04,0.04,0.15,-0.31,0.39,0.82,0.64,1.0,-0.25
telecommunication_lead_pct,-0.02,-0.15,0.97,-0.33,-0.36,-0.63,-0.03,0.0,0.18,-0.33,-0.21,-0.13,-0.23,0.18,0.2,0.4,0.04,-0.19,-0.19,0.06,-0.34,-0.33,0.09,-0.25,0.03,0.24,-0.37,-0.21,-0.04,-0.2,-0.32,-0.39,0.01,-0.22,0.0,-0.15,0.51,-0.19,-0.38,-0.43,0.23,-0.12,0.16,0.01,0.16,-0.22,-0.16,0.08,0.35,-0.13,-0.21,0.32,-0.29,0.03,-0.39,-0.16,-0.11,-0.16,-0.41,-0.29,0.03,-0.05,-0.15,-0.25,1.0
